time,speed,y4,y6,y8,y10,eps4,eps6,eps8,eps10,sigma_y4,sigma_y6,sigma_y8,sigma_y10,sigma_eps4,sigma_eps6,sigma_eps8,sigma_eps10,K4,K6,K8,K10,delta_f,L
0.76,1.17390118823552E-06,-0.00861177703915,-0.008586792069055,-0.008561807098417,-0.008536822131936,1.2492488711892E-05,1.2492488711892E-05,1.2492488711892E-05,1.2492488711892E-05,0.0010083686,0.001007962,0.0010174738,0.0010242846,0.001001948,0.0010231562,0.0010048978,0.0010130581,0,0,0,0,-0.001653225272357,8
0.78,1.11321760502489E-06,-0.008612730713453,-0.008587745743945,-0.008562760774994,-0.008537775804208,1.2492488711892E-05,1.2492488711892E-05,1.2492488711892E-05,1.2492488711892E-05,0.0010081859,0.0010075062,0.001017409,0.0010232595,0.0010019629,0.0010226873,0.0010048212,0.001012824,0,0,0,0,-0.001772970562452,8
0.8,9.96322769844127E-07,-0.008613682615868,-0.008588696760461,-0.008563710905374,-0.008538725050632,1.24929330602143E-05,1.24929330602143E-05,1.24929330602143E-05,1.24929330602143E-05,0.0010078965,0.0010073308,0.0010167687,0.0010228739,0.0010018604,0.0010220866,0.0010046687,0.0010124696,0,0,0,0,-0.001899214398792,8
0.82,9.35246711769396E-07,-0.008614636290577,-0.008589650434666,-0.008564664578198,-0.008539678724908,1.24929330602143E-05,1.24929330602143E-05,1.24929330602143E-05,1.24929330602143E-05,0.0010082399,0.0010076726,0.0010171479,0.0010238249,0.0010019537,0.0010226548,0.0010048343,0.0010128671,0,0,0,0,-0.001236856355587,8
0.84,7.86600479270823E-07,-0.008615111595622,-0.008590124974995,-0.008565138354306,-0.008540151731949,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,0.0010078894,0.0010075148,0.0010169435,0.0010228287,0.0010019005,0.0010223631,0.001004578,0.0010124126,0,0,0,0,-0.000935820954032,8
0.86,8.50132609200113E-07,-0.008616065269885,-0.008591078649301,-0.008566092027472,-0.008541105408109,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,0.0010077439,0.0010075053,0.001016611,0.0010222179,0.0010018317,0.0010221864,0.0010045023,0.0010121797,0,0,0,0,-0.001072247685642,8
0.88,0,-0.008616065269885,-0.008591078649301,-0.008566092027472,-0.008541105408109,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,1.24933151871314E-05,0.0010083948,0.0010084194,0.001017555,0.0010252807,0.0010019935,0.001023459,0.0010049879,0.0010130235,0,0,0,0,-0.001466839695317,8
0.9,2.08645775954026E-07,-0.008616541059533,-0.00859155391415,-0.008566566769726,-0.008541579624233,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,0.001008053,0.0010075184,0.0010168501,0.001023005,0.0010019131,0.00102207,0.0010046348,0.0010124459,0,0,0,0,-0.001444764180227,8
0.92,2.60678582942947E-07,-0.008616541059533,-0.00859155391415,-0.008566566769726,-0.008541579624233,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,0.0010084158,0.0010077496,0.0010176264,0.0010237647,0.0010019642,0.0010233137,0.0010048962,0.0010131758,0,0,0,0,-0.001100731147648,8
0.94,2.68213434327027E-07,-0.008617017896724,-0.00859203075152,-0.008567043606426,-0.00854205646025,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,0.0010081426,0.0010075088,0.0010172459,0.00102364,0.0010019414,0.0010224337,0.0010048307,0.0010128733,0,0,0,0,-0.001499503384779,8
0.96,3.42781932507483E-07,-0.008617017896724,-0.00859203075152,-0.008567043606426,-0.00854205646025,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,1.24935728940344E-05,0.0010078927,0.0010075422,0.0010166663,0.0010230741,0.0010018729,0.0010220854,0.0010046823,0.001012333,0,0,0,0,-0.001244930078557,8
